cohort,consent,age,gender,country_of_birth,country_of_birth_5_TEXT,hours_work,social_media_use,rent,friends_count,stress,highest_speed,relationship_status,dates,standard_drinks,countries,drug_use_q,drug_use_ans,student_type,mainstream_advanced,semesters,commute,data_interest,mark_goal,hours_studying,lecture_mode,study_type,learner_style
2024S2,I consent to take part in the study,19,Female,Other Please Specify,Mongolia,0,7.45,0,4,4,120,Single,0,0,2,Have you ever used recreational drugs?,No,International,DATA1001,2,20,6,3,5,Lecture Slides,I work steadily all semester,Style 1
2024S2,I consent to take part in the study,19,Female,Other Please Specify,Bangladesh,0,6.10,739,0,7,120,In a relationship,35,0,10,Have you ever gotten high off recreational drugs?,No,International,DATA1001,0,20,5,85,5,Recording,I work steadily all semester,Style 2
2024S2,I consent to take part in the study,20,Male,China,,9,5,500,9,9,120,Single,0,0,6,Have you ever used recreational drugs?,Prefer not to say,International,DATA1001,0,50,6,80,0,Recording,It changes depending on the subject,Style 3
2024S2,I consent to take part in the study,20,Female,Australia,,15,9.16,0,10,4,130,Single,0,5,17,Have you ever used recreational drugs?,Yes,Domestic,DATA1001,3,10,2,70,3,Live Stream from Lecture Theatre,It changes depending on the subject,Style 2
2024S2,I consent to take part in the study,20,Male,Other Please Specify,Indonesia,0,7.58,0,15,6,0,Single,1,1,6,Have you ever gotten high off recreational drugs?,Prefer not to say,International,DATA1001,6,40,4,100,1,Live in the Lecture Theatre,I leave things to the last minute,Style 1
2024S2,I consent to take part in the study,20,Male,China,,15,10,682,3,6,0,Single,3,2,3,Have you ever used recreational drugs?,No,International,DATA1001,0,60,5,90,6,Lecture Slides,It changes depending on the subject,Style 2
2024S2,I consent to take part in the study,18,Female,Australia,,1,3.10,0,4,4,180,In a relationship,3,0,5,Have you ever used recreational drugs?,No,Domestic,DATA1001,1,45,2,90,2,Recording,I leave things to the last minute,Style 2
2024S2,I consent to take part in the study,18,Male,Other Please Specify,Austria,0,1,0,5,2,120,Single,2,50,5,Have you ever gotten high off recreational drugs?,Yes,Domestic,DATA1901,0,65,6,100,12,Live Stream from Lecture Theatre,I work steadily all semester,Style 3
2024S2,I consent to take part in the study,18,Male,Other Please Specify,Canada,1,5.88,456,20,0,177.03,Its complicated,3,7,6,Have you ever used recreational drugs?,Yes,Domestic,DATA1901,1,15,10,90,4,Live in the Lecture Theatre,It changes depending on the subject,Style 1
2024S2,I consent to take part in the study,17,Male,Other Please Specify,,35,5,325,10,3,100,Single,0,3,3,Have you ever gotten high off recreational drugs?,No,International,DATA1901,2,5,4,90,10,Live Stream from Lecture Theatre,I work steadily all semester,Style 1
2024S2,I consent to take part in the study,18,Male,Other Please Specify,Indonesia,0,3,250,20,3,140,Single,0,0,4,Have you ever gotten high off recreational drugs?,No,International,DATA1901,0,15,9,95,10,Live in the Lecture Theatre,It changes depending on the subject,Style 1
2024S2,I consent to take part in the study,18,Male,Other Please Specify,New Zealand,0,2,0,8,6,120,Single,0,3,7,Have you ever used recreational drugs?,No,Domestic,DATA1901,1,0,8,90,4,Recording,I work steadily all semester,Style 3
2024S2,I consent to take part in the study,17,Male,Other Please Specify,Indonesia,0,6,400,20,3,80,Single,0,0,3,Have you ever used recreational drugs?,No,International,DATA1901,0,75,6,75,20,Live in the Lecture Theatre,I work steadily all semester,Style 3
2024S2,I consent to take part in the study,18,Male,Other Please Specify,Vietnam,0,2.87,350,60,4,100,Single,0,3,3,Have you ever gotten high off recreational drugs?,No,International,DATA1901,0,20,10,90,10,Live in the Lecture Theatre,I work steadily all semester,Style 1
2024S2,I consent to take part in the study,18,Male,Other Please Specify,Indonesia,0,4.25,789,15,4,170,Single,0,1,31,Have you ever gotten high off recreational drugs?,No,International,DATA1901,0,12,8,90,7,Live in the Lecture Theatre,I work steadily all semester,Style 3
2024S2,I consent to take part in the study,18,Male,Other Please Specify,Indonesia,0,2833,217,30,1,80,Single,0,0,3,Have you ever used recreational drugs?,No,International,DATA1901,0,40,7,100,5,Live in the Lecture Theatre,It changes depending on the subject,Style 1
2024S2,I consent to take part in the study,18,Female,Australia,,0,8.25,0,10,8,125,Single,8,0,1,Have you ever used recreational drugs?,No,International,DATA1901,1,40,2,85,4,Lecture Slides,It changes depending on the subject,Style 1
2024S2,I consent to take part in the study,19,Male,Other Please Specify,Hong Kong,0,4.5,950,30,7,170,Single,2,50,27,Have you ever gotten high off recreational drugs?,No,International,DATA1901,1,10,2,100,3,Live in the Lecture Theatre,I leave things to the last minute,Style 2
2024S2,I consent to take part in the study,18,Male,Australia,,6.5,2,0,10,3,85,In a relationship,10,1.5,4,Have you ever used recreational drugs?,No,Domestic,DATA1901,1,60,6,85,4,Recording,It changes depending on the subject,Style 1
2024S2,I consent to take part in the study,18,Male,Australia,,7,4,0,9,7,110,Single,0,0,3,Have you ever gotten high off recreational drugs?,No,Domestic,DATA1901,1,85,3,85,3,Live in the Lecture Theatre,I leave things to the last minute,Style 2
2024S2,I consent to take part in the study,18,Female,Australia,,0,3.13,0,7,1,120,Single,0,0,2,Have you ever gotten high off recreational drugs?,No,Domestic,DATA1901,1,55,3,75,4,Live in the Lecture Theatre,It changes depending on the subject,Style 3
